RepRapFirmware height map file v2 generated at 2021-03-18 04:04, min error -0.212, max error 0.149, mean 0.019, deviation 0.081
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
0.00,290.00,2.00,292.00,-1.00,36.25,36.25,9,9
 -0.029,  0.074,  0.053,  0.067,  0.112,  0.128,  0.113,  0.053, -0.119
 -0.044, -0.038, -0.036, -0.023,  0.024,  0.059,  0.068,  0.038,  0.008
 -0.075, -0.067, -0.061, -0.051, -0.001,  0.038,  0.045,  0.023, -0.008
 -0.036, -0.009, -0.005,  0.028,  0.077,  0.111,  0.107,  0.089,  0.076
 -0.008,  0.016,  0.029,  0.054,  0.105,  0.136,  0.134,  0.099,  0.082
 -0.029,  0.000,  0.009,  0.044,  0.106,  0.149,  0.137,  0.104,  0.076
 -0.090, -0.053, -0.044, -0.008,  0.061,  0.098,  0.104,  0.085,  0.058
 -0.192, -0.137, -0.117, -0.070,  0.019,  0.065,  0.071,  0.065,  0.040
 -0.212, -0.192, -0.159, -0.096, -0.008,  0.038,  0.069,  0.074,  0.069
